M,date,lat,lon,prof
"M
3.8",01/01/2022  -  10:26:36  ,-4.8673,-80.7908,25
"M
4.2",01/01/2022  -  12:04:52  ,-4.939,-81.1582,24
"M
4.1",02/01/2022  -  20:20:33  ,-9.6246,-79.5228,27
"M
4.3",02/01/2022  -  20:51:38  ,-12.7803,-73.6406,97
"M
4",02/01/2022  -  23:20:19  ,-5.8466,-80.8432,31
"M
3.6",03/01/2022  -  20:38:06  ,-8.6863,-77.8341,17
"M
4.1",03/01/2022  -  22:09:49  ,-4.9246,-81.0421,22
"M
4",04/01/2022  -  22:32:53  ,-12.6327,-77.2495,22
"M
4.1",05/01/2022  -  10:26:04  ,-4.7025,-80.3146,56
"M
3.7",06/01/2022  -  10:19:25  ,-9.5565,-75.5176,19
"M
4",06/01/2022  -  10:35:56  ,-5.6698,-77.2732,39
"M
4",06/01/2022  -  16:24:08  ,-11.4047,-76.3428,108
"M
3.5",06/01/2022  -  22:04:03  ,-12.8041,-76.9879,44
"M
4.4",07/01/2022  -  01:04:43  ,-17.5233,-69.8723,12
"M
4",07/01/2022  -  02:48:41  ,-4.7117,-76.9259,139
"M
5.6",07/01/2022  -  05:27:05  ,-11.9721,-76.8429,105
"M
3.5",07/01/2022  -  07:48:30  ,-17.4972,-69.8482,12
"M
3.7",07/01/2022  -  21:13:09  ,-17.4917,-69.8353,16
"M
3.7",08/01/2022  -  02:54:31  ,-12.7787,-76.9083,46
"M
3.9",08/01/2022  -  11:47:10  ,-12.7642,-76.8848,36
"M
3.9",08/01/2022  -  16:20:49  ,-16.7972,-71.8499,35
"M
3.7",08/01/2022  -  18:36:00  ,-11.3023,-74.6381,13
"M
3.7",10/01/2022  -  05:34:50  ,-8.9708,-78.1262,22
"M
3.7",10/01/2022  -  21:24:58  ,-15.7957,-71.9348,10
"M
3.9",10/01/2022  -  23:27:13  ,-8.9584,-78.7968,63
"M
3.4",12/01/2022  -  06:04:58  ,-15.3716,-70.9382,10
"M
3.6",12/01/2022  -  19:06:58  ,-14.1468,-71.4308,15
"M
3.8",13/01/2022  -  02:53:50  ,-9.8137,-78.8227,32
"M
4",15/01/2022  -  16:54:18  ,-17.6609,-69.6297,171
"M
3.5",15/01/2022  -  18:28:49  ,-11.5123,-76.662,22
"M
4.2",16/01/2022  -  11:36:46  ,-15.1846,-71.9464,136
"M
3.6",17/01/2022  -  19:56:11  ,-11.8141,-77.6579,54
"M
4",17/01/2022  -  23:31:33  ,-7.636,-76.3461,152
"M
3.7",18/01/2022  -  01:02:43  ,-5.33,-78.82,23
"M
4.1",18/01/2022  -  04:02:47  ,-17.661,-70.517,100
"M
4",18/01/2022  -  09:45:54  ,-18.4496,-70.9152,32
"M
4",18/01/2022  -  18:46:03  ,-4.5235,-77.0388,104
"M
3.9",19/01/2022  -  03:06:27  ,-8.6808,-77.827,14
"M
4.1",19/01/2022  -  06:17:22  ,-7.3104,-75.7099,34
"M
4.7",20/01/2022  -  01:32:21  ,-9.8578,-75.0198,68
"M
4.2",20/01/2022  -  05:45:57  ,-5.1217,-80.1891,84
"M
4",20/01/2022  -  22:42:59  ,-8.2174,-74.2338,154
"M
3.9",21/01/2022  -  22:55:48  ,-14.2363,-70.7162,10
"M
4.9",22/01/2022  -  02:23:32  ,-14.5845,-75.7354,63
"M
3.7",22/01/2022  -  19:17:06  ,-14.2088,-70.7514,15
"M
3.9",22/01/2022  -  23:12:29  ,-14.2194,-70.7277,13
"M
4.2",23/01/2022  -  06:13:09  ,-9.3323,-78.9565,72
"M
3.9",23/01/2022  -  16:33:49  ,-14.2191,-70.7336,13
"M
3.2",23/01/2022  -  21:16:26  ,-12.3007,-76.8936,55
"M
4",24/01/2022  -  07:17:51  ,-5.3387,-78.8041,27
"M
4.3",24/01/2022  -  11:37:06  ,-16.068,-72.8268,102
"M
4.3",25/01/2022  -  05:19:07  ,-10.5943,-80.538,10
"M
4.1",25/01/2022  -  13:47:45  ,-8.3557,-74.1167,119
"M
3.6",26/01/2022  -  00:30:35  ,-13.2746,-76.5149,56
"M
4.1",26/01/2022  -  09:54:53  ,-18.8399,-70.1077,74
"M
4.2",26/01/2022  -  15:47:51  ,-14.8514,-75.5255,52
"M
4.5",27/01/2022  -  09:21:00  ,-10.8968,-73.8053,126
"M
5.5",27/01/2022  -  19:31:25  ,-19.276,-69.7501,109
"M
5",28/01/2022  -  08:43:27  ,-18.811,-69.7297,124
"M
4.1",29/01/2022  -  15:04:53  ,-5.5676,-80.921,32
"M
4.2",29/01/2022  -  16:18:19  ,-9.4147,-75.4734,25
"M
4.4",29/01/2022  -  17:37:41  ,-7.9454,-74.549,139
"M
4.3",30/01/2022  -  09:06:05  ,-12.7673,-76.9805,47
"M
5",30/01/2022  -  19:08:17  ,-14.9245,-73.9447,114
"M
4",30/01/2022  -  21:05:15  ,-11.46,-76.37,132
"M
4",31/01/2022  -  01:48:12  ,-11.1677,-73.383,29
"M
3.8",31/01/2022  -  21:26:30  ,-12.6395,-76.7895,46
"M
4.5",01/02/2022  -  14:01:16  ,-15.2801,-75.3842,48
"M
3.7",01/02/2022  -  17:27:21  ,-12.5944,-76.9704,42
"M
3.7",01/02/2022  -  23:43:56  ,-4.8764,-80.837,29
"M
3.6",02/02/2022  -  13:31:19  ,-4.9316,-80.7571,35
"M
4.6",02/02/2022  -  14:28:46  ,-7.9904,-74.4022,122
"M
4.8",02/02/2022  -  17:16:28  ,-10.8136,-78.5286,47
"M
4",03/02/2022  -  02:00:42  ,-8.7692,-79.3971,42
"M
4.5",03/02/2022  -  02:02:27  ,-3.764,-79.7525,96
"M
6.8",03/02/2022  -  10:58:56  ,-4.4349,-76.9517,102
"M
3.9",04/02/2022  -  07:03:58  ,-4.9462,-80.7941,36
"M
3.8",04/02/2022  -  21:36:47  ,-12.7464,-76.8934,48
"M
3.7",05/02/2022  -  02:15:42  ,-11.9752,-77.0739,71
"M
4.3",05/02/2022  -  05:04:38  ,-10.857,-77.8225,51
"M
4.2",07/02/2022  -  02:43:54  ,-9.5011,-79.213,48
"M
5.1",09/02/2022  -  09:30:35  ,-16.0334,-74.4696,31
"M
3.7",09/02/2022  -  13:43:20  ,-5.9471,-77.26,19
"M
3.7",10/02/2022  -  02:38:56  ,-15.2159,-70.9652,10
"M
4.1",11/02/2022  -  03:11:33  ,-10.7021,-75.6345,126
"M
3.9",11/02/2022  -  09:01:20  ,-13.7895,-76.131,43
"M
4",12/02/2022  -  01:56:48  ,-18.7753,-70.3689,37
"M
4",13/02/2022  -  15:40:45  ,-5.9164,-76.9966,22
"M
4",16/02/2022  -  01:08:03  ,-19.2538,-70.1278,56
"M
3.6",16/02/2022  -  21:27:47  ,-11.7153,-77.6718,36
"M
4",17/02/2022  -  13:01:57  ,-14.28,-74.42,107
"M
3.6",17/02/2022  -  18:42:55  ,-4.814,-80.2427,64
"M
4.2",17/02/2022  -  23:58:30  ,-14.3526,-75.7889,55
"M
4",18/02/2022  -  21:15:09  ,-17.2397,-72.7165,29
"M
3.4",19/02/2022  -  06:01:40  ,-11.5236,-77.2003,44
"M
3.4",19/02/2022  -  16:29:42  ,-12.7476,-76.8906,45
"M
4",19/02/2022  -  22:09:44  ,-5.875,-81.0722,29
"M
5.2",20/02/2022  -  06:58:19  ,-18.492,-71.3559,30
"M
3.6",20/02/2022  -  15:07:34  ,-15.6723,-71.8083,12
"M
4.2",20/02/2022  -  18:24:27  ,-18.5038,-71.4197,40
"M
4.3",21/02/2022  -  19:57:29  ,-6.5662,-80.9815,26
"M
3.8",22/02/2022  -  01:30:49  ,-8.6328,-78.8795,75
"M
4.1",22/02/2022  -  04:32:45  ,-15.043,-71.9469,139
"M
3.7",22/02/2022  -  14:37:37  ,-5.8853,-77.2574,13
"M
3.9",23/02/2022  -  04:00:28  ,-13.1248,-76.9186,31
"M
3.6",23/02/2022  -  17:26:27  ,-15.672,-71.8217,7
"M
3.8",24/02/2022  -  11:44:41  ,-9.22,-78.8746,68
"M
4.2",24/02/2022  -  18:36:44  ,-16.2726,-73.8124,39
"M
4.2",24/02/2022  -  22:55:08  ,-5.8467,-77.2012,16
"M
3.8",25/02/2022  -  07:36:10  ,-12.6964,-76.7185,50
"M
3.7",26/02/2022  -  16:07:15  ,-17.726,-70.3835,17
"M
3.5",26/02/2022  -  17:55:33  ,-15.7008,-71.7563,13
"M
3.6",27/02/2022  -  06:47:21  ,-17.7971,-71.2344,65
"M
3.7",27/02/2022  -  16:15:50  ,-16.4289,-71.6739,23
"M
4",28/02/2022  -  18:18:40  ,-6.2775,-75.9521,36
"M
3.8",01/03/2022  -  13:31:14  ,-15.728,-72.2027,10
"M
4.3",01/03/2022  -  15:54:04  ,-8.9846,-79.32,51
"M
3.9",01/03/2022  -  20:03:00  ,-10.6789,-78.3835,28
"M
4.5",01/03/2022  -  23:16:47  ,-14.277,-76.5162,20
"M
4",02/03/2022  -  01:26:06  ,-18.7276,-69.7726,124
"M
4",02/03/2022  -  02:14:27  ,-10.8132,-77.5275,91
"M
4.2",02/03/2022  -  06:11:15  ,-5.8628,-81.4265,28
"M
4.2",02/03/2022  -  09:38:50  ,-13.9863,-76.0334,68
"M
3.9",02/03/2022  -  18:32:15  ,-15.7431,-71.9966,10
"M
3.5",03/03/2022  -  02:36:27  ,-15.7338,-72.0064,15
"M
5",03/03/2022  -  14:17:48  ,-17.0703,-70.1007,178
"M
3.7",03/03/2022  -  21:54:53  ,-16.3875,-72.0156,14
"M
3.8",04/03/2022  -  07:48:15  ,-17.261,-71.8074,36
"M
5.6",05/03/2022  -  02:45:27  ,-10.5489,-74.2725,144
"M
3.8",06/03/2022  -  18:01:03  ,-17.7702,-69.6021,163
"M
3.5",06/03/2022  -  18:21:35  ,-12.3991,-76.5683,62
"M
4.2",06/03/2022  -  20:54:14  ,-15.294,-72.4592,127
"M
4.1",06/03/2022  -  23:02:25  ,-14.7311,-74.7977,92
"M
4.2",07/03/2022  -  15:12:45  ,-5.7289,-78.6816,13
"M
3.6",07/03/2022  -  23:30:57  ,-11.8633,-77.4653,62
"M
5",09/03/2022  -  13:18:14  ,-14.3238,-76.4696,35
"M
3.8",11/03/2022  -  00:59:21  ,-10.354,-75.5949,21
"M
4.9",11/03/2022  -  15:02:27  ,-8.3521,-74.2103,160
"M
3.7",11/03/2022  -  21:54:01  ,-12.2412,-77.1142,61
"M
4",12/03/2022  -  08:41:38  ,-12.8679,-76.9293,35
"M
4.1",12/03/2022  -  09:30:33  ,-15.5127,-70.3556,233
"M
4",13/03/2022  -  06:47:25  ,-6.1228,-80.6695,33
"M
4.1",13/03/2022  -  14:14:00  ,-13.6815,-74.9347,91
"M
3.7",14/03/2022  -  12:53:06  ,-15.6291,-71.8109,12
"M
3.7",15/03/2022  -  00:44:23  ,-15.679,-71.859,7
"M
4.7",15/03/2022  -  05:20:04  ,-15.655,-71.8051,9
"M
3.5",15/03/2022  -  05:33:02  ,-15.6566,-71.8045,8
"M
3.4",15/03/2022  -  06:00:16  ,-15.6792,-71.72,8
"M
3.7",15/03/2022  -  06:07:40  ,-15.6315,-71.814,7
"M
4",15/03/2022  -  06:17:00  ,-11.428,-76.9015,100
"M
3.5",15/03/2022  -  06:58:06  ,-15.6287,-71.8067,9
"M
3.4",15/03/2022  -  07:19:06  ,-15.6239,-71.8017,8
"M
3.4",15/03/2022  -  08:49:56  ,-15.6214,-71.823,13
"M
3.2",15/03/2022  -  10:03:35  ,-15.6675,-71.7877,15
"M
3.6",15/03/2022  -  12:09:46  ,-15.6622,-71.8137,9
"M
3.9",15/03/2022  -  12:37:54  ,-18.583,-70.4697,52
"M
3.5",15/03/2022  -  13:54:28  ,-15.66,-71.81,14
"M
4.1",15/03/2022  -  23:51:11  ,-15.6078,-71.8016,12
"M
4.3",15/03/2022  -  23:54:00  ,-15.6272,-71.8059,11
"M
5.5",16/03/2022  -  01:06:32  ,-15.6871,-71.8179,12
"M
3.6",16/03/2022  -  01:45:42  ,-15.7009,-71.8463,13
"M
3.7",16/03/2022  -  03:17:51  ,-15.6733,-71.8308,11
"M
3.6",16/03/2022  -  03:45:59  ,-15.6811,-71.842,13
"M
3.5",16/03/2022  -  06:37:50  ,-15.6587,-71.8302,14
"M
3.6",16/03/2022  -  06:41:14  ,-15.6398,-71.7944,14
"M
3.4",16/03/2022  -  12:22:32  ,-15.6357,-71.802,15
"M
3.7",16/03/2022  -  15:32:31  ,-15.7153,-71.8556,14
"M
4",16/03/2022  -  22:52:44  ,-13.663,-75.2303,116
"M
4.1",17/03/2022  -  02:54:45  ,-14.1669,-72.7831,82
"M
3.7",17/03/2022  -  03:05:13  ,-15.6782,-71.8644,10
"M
4",17/03/2022  -  04:38:37  ,-15.7038,-71.8707,10
"M
3.5",17/03/2022  -  08:36:40  ,-15.68,-71.81,11
"M
4.1",17/03/2022  -  13:07:13  ,-15.6574,-71.8035,10
"M
3.6",17/03/2022  -  15:45:18  ,-15.6483,-71.8149,9
"M
3.6",17/03/2022  -  19:22:11  ,-15.6295,-71.8038,10
"M
3.3",17/03/2022  -  21:37:44  ,-15.6567,-71.8247,12
"M
3.8",18/03/2022  -  04:27:49  ,-18.4861,-70.1111,45
"M
3.4",18/03/2022  -  04:59:04  ,-15.6762,-71.8386,11
"M
3.6",18/03/2022  -  06:29:27  ,-15.6258,-71.7964,11
"M
4",18/03/2022  -  06:32:23  ,-17.05,-70.9391,123
"M
4",18/03/2022  -  20:52:39  ,-15.6318,-71.8039,12
"M
3.5",19/03/2022  -  21:24:04  ,-15.611,-71.7859,10
"M
3.6",20/03/2022  -  07:29:04  ,-15.6664,-71.8059,13
"M
4.5",20/03/2022  -  09:39:47  ,-13.5292,-70.5638,17
"M
3.8",21/03/2022  -  00:49:41  ,-16.7665,-72.3626,29
"M
3.6",21/03/2022  -  08:55:17  ,-15.6682,-71.8075,7
"M
4.8",22/03/2022  -  17:51:25  ,-8.3152,-80.1513,30
"M
3.7",23/03/2022  -  10:30:24  ,-7.1136,-80.1338,26
"M
4.2",23/03/2022  -  16:06:07  ,-8.7603,-80.2026,22
"M
3.9",24/03/2022  -  00:23:58  ,-15.6633,-71.8321,6
"M
4",24/03/2022  -  14:06:10  ,-14.5789,-76.2395,30
"M
5.1",24/03/2022  -  19:56:23  ,-15.6827,-71.8568,141
"M
3.6",24/03/2022  -  22:01:28  ,-15.684,-71.8316,11
"M
3.9",25/03/2022  -  18:51:44  ,-11.4335,-77.7927,37
"M
4",26/03/2022  -  10:15:41  ,-12.1443,-73.173,10
"M
4.4",26/03/2022  -  18:25:39  ,-8.3681,-75.0007,140
"M
4",27/03/2022  -  03:32:54  ,-7.1667,-75.5573,111
"M
3.8",27/03/2022  -  23:47:13  ,-12.3102,-77.0758,51
"M
3.6",28/03/2022  -  01:54:18  ,-11.997,-77.336,47
"M
3.9",28/03/2022  -  07:26:41  ,-16.3969,-72.4658,71
"M
3.9",28/03/2022  -  21:51:44  ,-15.2196,-75.0554,62
"M
3.5",29/03/2022  -  01:31:46  ,-12.5341,-77.0668,45
"M
3.7",29/03/2022  -  04:24:49  ,-5.23,-80.24,63
"M
3.4",29/03/2022  -  05:12:02  ,-15.5925,-71.7912,15
"M
4.5",29/03/2022  -  09:53:20  ,-13.6419,-72.8453,9
"M
4",29/03/2022  -  11:37:48  ,-15.131,-71.77,134
"M
3.6",29/03/2022  -  20:14:57  ,-4.3481,-79.6592,11
"M
5.2",30/03/2022  -  19:11:42  ,-11.2874,-78.4102,27
"M
4",30/03/2022  -  20:01:02  ,-8.059,-74.5299,154
"M
4.7",31/03/2022  -  16:54:38  ,-5.9213,-76.955,132
"M
3.8",31/03/2022  -  20:23:46  ,-5.3528,-80.8856,19
"M
3.5",31/03/2022  -  22:21:41  ,-13.6069,-72.8669,11
"M
4.6",31/03/2022  -  23:05:21  ,-10.455,-78.5824,37
"M
3.8",01/04/2022  -  03:58:04  ,-5.8344,-78.5942,10
"M
4.7",03/04/2022  -  12:29:30  ,-4.4144,-76.9487,108
"M
3.5",03/04/2022  -  18:22:30  ,-16.2356,-71.8547,11
"M
4",03/04/2022  -  19:12:44  ,-16.8132,-69.602,215
